dataset,pair,rows,invalid_rows
datasetdbp5l,el-en,2290,0
datasetdbp5l,el-es,2224,0
datasetdbp5l,el-fr,2298,0
datasetdbp5l,el-ja,2230,0
datasetdbp5l,en-fr,5255,0
datasetdbp5l,es-en,4831,0
datasetdbp5l,es-fr,4562,0
datasetdbp5l,ja-en,4541,0
datasetdbp5l,ja-es,4730,0
datasetdbp5l,ja-fr,4762,0
datasetdepkg,de-es,4872,0
datasetdepkg,de-fr,6538,0
datasetdepkg,de-it,5942,0
datasetdepkg,de-jp,1198,0
datasetdepkg,de-uk,6146,0
datasetdepkg,es-fr,5325,0
datasetdepkg,es-it,5398,0
datasetdepkg,es-jp,803,0
datasetdepkg,es-uk,3786,0
datasetdepkg,fr-it,6729,0
datasetdepkg,fr-jp,955,0
datasetdepkg,fr-uk,5265,0
datasetdepkg,it-jp,896,0
datasetdepkg,it-uk,4862,0
datasetdepkg,jp-uk,1323,0
datasetdwy,db-wk,9551,0
datasetdwy,db-yg,6553,0
datasetdwy,yg-wk,1964,0
